src,tgt,k,bleu,chrf,n_eval,avg_prompt_chars
English,French,0,24.8,54.59,50,286.4
English,French,1,32.41,58.73,50,539.4
English,French,2,29.04,57.59,50,1034.4
English,French,4,35.01,56.45,50,2096.4
English,French,8,27.73,57.81,50,3294.4
French,English,0,24.3,57.04,50,313.0
French,English,1,24.44,55.6,50,566.0
French,English,2,23.86,56.45,50,1061.0
French,English,4,27.42,58.2,50,2123.0
French,English,8,25.11,57.5,50,3321.0
English,Xhosa,0,0.15,9.48,50,284.4
English,Xhosa,1,0.16,10.89,50,504.4
English,Xhosa,2,0.15,10.64,50,975.4
English,Xhosa,4,0.39,13.29,50,1984.4
English,Xhosa,8,0.23,12.51,50,3098.4
